Jahr,Rubrik,Energietraeger,TJ
"1981,""Energieumwandlung - Wasserkraftwerke"",""Erdölprodukte"","
"1981,""Energieumwandlung - Wasserkraftwerke"",""Fernwärme"","
"1981,""Energieumwandlung - Wasserkraftwerke"",""Gas"","
"1981,""Energieumwandlung - Wasserkraftwerke"",""Holzenergie"","
"1981,""Energieumwandlung - Wasserkraftwerke"",""Kernbrennstoffe"","
"1981,""Energieumwandlung - Wasserkraftwerke"",""Kohle"","
"1981,""Energieumwandlung - Wasserkraftwerke"",""Müll und Industrieabfälle"","
"1981,""Energieumwandlung - Wasserkraftwerke"",""Rohöl"","
"1981,""Energieumwandlung - Wasserkraftwerke"",""Uebrige erneuerbare Energien"","
"1981,""Energieumwandlung - Wasserkraftwerke"",""Wasserkraft"",-129950"
"1981,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Elektrizität"",3440"
"1981,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Erdölprodukte"",-5110"
"1981,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Fernwärme"",8890"
"1981,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Gas"",-4160"
"1981,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Holzenergie"",0"
"1981,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Kernbrennstoffe"","
"1981,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Kohle"",-1040"
"1981,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Müll und Industrieabfälle"",-9440"
"1981,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Rohöl"","
"1981,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Uebrige erneuerbare Energien"","
"1981,""Energieumwandlung - konventionell-thermische Kraft-, Fernheiz- und Fernheizkraftwerke"",""Wasserkraft"","
"1981,""Export"",""Elektrizität"",-73980"
"1981,""Export"",""Erdölprodukte"",-2220"
"1981,""Export"",""Fernwärme"","
"1981,""Export"",""Gas"","
"1981,""Export"",""Holzenergie"","
"1981,""Export"",""Kernbrennstoffe"","
"1981,""Export"",""Kohle"",-30"
"1981,""Export"",""Müll und Industrieabfälle"","
"1981,""Export"",""Rohöl"","
"1981,""Export"",""Uebrige erneuerbare Energien"","
"1981,""Export"",""Wasserkraft"","
"1981,""Import"",""Elektrizität"",35420"
"1981,""Import"",""Erdölprodukte"",328780"
"1981,""Import"",""Fernwärme"","
"1981,""Import"",""Gas"",39140"
"1981,""Import"",""Holzenergie"",220"
"1981,""Import"",""Kernbrennstoffe"",157770"
"1981,""Import"",""Kohle"",29850"
"1981,""Import"",""Müll und Industrieabfälle"","
"1981,""Import"",""Rohöl"",167300"
"1981,""Import"",""Uebrige erneuerbare Energien"","
